epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,593.793,2.78328,3.47132,3.12749,0.28068,0.27827,0.19466,0.06979,2.30929,2.43127,2.54945,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,1131.35,2.08162,2.43252,2.17177,0.33807,0.29973,0.24794,0.10203,2.04476,2.34482,2.16223,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1618.51,2.05453,2.40647,2.07568,0.18277,0.1437,0.07759,0.02964,2.39624,3.50526,2.49819,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,2136.34,2.03556,2.406,2.00897,0.29886,0.29642,0.23414,0.0961,2.01732,2.38374,2.05015,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2638.19,1.94068,2.23058,1.89973,0.4106,0.37107,0.33355,0.14043,1.90656,2.08727,1.94689,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3144.47,1.88642,2.14237,1.84418,0.42799,0.37449,0.36047,0.15517,1.85276,2.0098,1.86552,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3647.55,1.84862,2.07601,1.80232,0.4726,0.40995,0.39243,0.17782,1.79352,1.91586,1.81698,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,4127.6,1.8227,2.01833,1.76744,0.46877,0.42824,0.407,0.18528,1.79705,1.85331,1.79592,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4630.18,1.79319,1.97402,1.74736,0.48983,0.43451,0.42827,0.19648,1.78102,1.83013,1.77355,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,5128.61,1.78288,1.93621,1.72878,0.50963,0.44199,0.44532,0.2076,1.75645,1.7918,1.76613,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
