epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14711.3,1.61589,1.57897,1.57887,0.65317,0.54737,0.61223,0.31363,1.60291,1.39816,1.60864,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,15167.5,1.61355,1.57705,1.58167,0.63984,0.55845,0.61548,0.31577,1.5983,1.38791,1.60616,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,15618.8,1.60131,1.56302,1.57435,0.65202,0.5527,0.61554,0.31686,1.5954,1.38424,1.60426,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,16071.5,1.60366,1.55243,1.56709,0.6454,0.55978,0.61805,0.31878,1.59403,1.37766,1.60045,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,16524.1,1.59448,1.54365,1.56264,0.63564,0.56866,0.62172,0.32009,1.59374,1.37161,1.60023,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,16976.8,1.59116,1.53632,1.55863,0.63967,0.56761,0.62328,0.3217,1.58783,1.37058,1.59597,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,17433.8,1.58805,1.52554,1.55196,0.65055,0.55559,0.6243,0.32383,1.58745,1.36797,1.59492,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,17888.6,1.57949,1.51788,1.55208,0.65202,0.56067,0.62681,0.3257,1.58703,1.36682,1.59429,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,18340.4,1.5819,1.51196,1.54601,0.64984,0.5699,0.62891,0.3267,1.58684,1.36318,1.59284,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,18791.1,1.5686,1.50356,1.53597,0.64248,0.57366,0.62846,0.32795,1.58457,1.36132,1.58844,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,19249.8,1.57114,1.49776,1.53243,0.65403,0.57167,0.63106,0.32769,1.58466,1.35704,1.58605,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,19701.2,1.57086,1.48962,1.53305,0.65429,0.57448,0.63113,0.32944,1.58412,1.35412,1.58545,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,20152.3,1.55964,1.48349,1.52197,0.65637,0.57318,0.63166,0.33001,1.58204,1.35284,1.5834,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,20606.8,1.55968,1.47329,1.52797,0.64939,0.57884,0.63362,0.33121,1.58267,1.34998,1.58242,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,21050.6,1.55939,1.46513,1.5248,0.65074,0.58174,0.63627,0.33162,1.58272,1.34767,1.58233,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,21512.9,1.55886,1.45812,1.51574,0.65945,0.57787,0.63624,0.33135,1.58266,1.34562,1.58103,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,21968.7,1.54975,1.451,1.51402,0.6629,0.57972,0.63674,0.3321,1.58316,1.34371,1.58053,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,22421.2,1.54127,1.43855,1.50807,0.66512,0.57896,0.63836,0.33236,1.58316,1.34164,1.57942,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,22876.4,1.54763,1.4392,1.5044,0.66821,0.57436,0.63775,0.33231,1.58371,1.33968,1.5785,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,23335.7,1.54316,1.43472,1.50477,0.66775,0.57459,0.63779,0.33276,1.58353,1.33883,1.57745,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,23784.3,1.53846,1.42161,1.49509,0.66396,0.57762,0.6378,0.33308,1.58259,1.33778,1.57617,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,24241.6,1.52962,1.41157,1.48641,0.66386,0.57655,0.63839,0.33354,1.58273,1.33588,1.57519,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
