epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,17475.1,1.67117,1.8863,1.88537,0.57325,0.52587,0.5513,0.26135,1.66407,1.61819,1.93129,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,17933.9,1.66884,1.88974,1.89146,0.57515,0.52722,0.55524,0.26427,1.65876,1.61,1.93229,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,18387.3,1.66149,1.87176,1.87861,0.57831,0.52085,0.55361,0.26568,1.66049,1.60397,1.92961,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,18833,1.66159,1.86319,1.87031,0.57768,0.52608,0.55847,0.26584,1.65874,1.59891,1.927,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,19285.3,1.65881,1.85026,1.87362,0.5782,0.5281,0.55691,0.26738,1.65962,1.59221,1.92755,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,19766.3,1.6524,1.84775,1.87111,0.59186,0.52426,0.56199,0.26923,1.65697,1.58527,1.92427,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,20277.4,1.64972,1.83611,1.86363,0.5964,0.53008,0.56586,0.26951,1.65519,1.58285,1.92169,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,20806.1,1.64585,1.82509,1.85801,0.59205,0.53279,0.56511,0.27018,1.65414,1.58005,1.91889,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,21342.6,1.64916,1.82028,1.85443,0.58277,0.53843,0.56568,0.27198,1.65294,1.57793,1.91408,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,21893.9,1.63771,1.81619,1.84848,0.57959,0.53792,0.56878,0.27372,1.65205,1.57405,1.91228,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,22434.2,1.6405,1.81392,1.84816,0.58045,0.54035,0.56928,0.27415,1.6506,1.56996,1.91054,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,23042,1.63789,1.80317,1.84613,0.59205,0.53099,0.5691,0.2745,1.64921,1.56567,1.90927,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,23595.5,1.63182,1.79609,1.83436,0.59096,0.53622,0.5729,0.27626,1.64957,1.56203,1.90898,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,24150.9,1.63669,1.79351,1.84284,0.59061,0.54132,0.57431,0.27646,1.64866,1.55876,1.90773,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,24693,1.63048,1.77834,1.8348,0.59396,0.5408,0.57599,0.27752,1.64967,1.55357,1.90713,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,25203.3,1.63511,1.77469,1.83678,0.59344,0.54056,0.57619,0.2776,1.64971,1.54979,1.90581,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,25718.3,1.62049,1.77306,1.83518,0.59918,0.53742,0.57778,0.27887,1.64975,1.54781,1.90611,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,26248.8,1.62089,1.75985,1.82846,0.59849,0.53754,0.57966,0.27989,1.64938,1.54427,1.90473,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,26761.8,1.62025,1.76595,1.82599,0.59869,0.53996,0.58182,0.2812,1.648,1.54186,1.90421,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,27278.3,1.619,1.76378,1.82269,0.60296,0.5378,0.58154,0.28116,1.64693,1.54101,1.90268,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,27803.4,1.61546,1.75326,1.82065,0.60823,0.53901,0.58244,0.2816,1.64613,1.53935,1.90191,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,28335.9,1.61244,1.74591,1.82065,0.60336,0.54297,0.58278,0.28176,1.6459,1.53746,1.90154,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,28841.8,1.60528,1.73855,1.81606,0.60231,0.54408,0.58227,0.28226,1.64484,1.53622,1.90098,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,29351.8,1.60782,1.74398,1.81758,0.60213,0.54523,0.58237,0.2827,1.64408,1.53574,1.90053,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,29873.8,1.61213,1.74014,1.81133,0.60529,0.54363,0.58333,0.2829,1.64458,1.53336,1.90017,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,30385,1.60476,1.71997,1.80286,0.60397,0.54322,0.58309,0.28339,1.64419,1.53234,1.9,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,30898.7,1.6064,1.71263,1.80555,0.60541,0.54498,0.58387,0.28355,1.64389,1.53065,1.89911,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,31420.5,1.6027,1.72311,1.80075,0.60474,0.54444,0.58477,0.28416,1.64357,1.52919,1.89819,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,31947,1.60164,1.70545,1.79632,0.60771,0.54313,0.58551,0.2846,1.64353,1.52749,1.89805,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,32452.3,1.60036,1.69387,1.8002,0.60833,0.54254,0.58535,0.28501,1.64308,1.52658,1.89714,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,32957.4,1.59218,1.68996,1.7903,0.60742,0.54344,0.58632,0.28577,1.64247,1.52516,1.89625,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,33443.4,1.59314,1.6963,1.78444,0.60883,0.54156,0.58627,0.28566,1.64204,1.5233,1.89487,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,33930.6,1.5885,1.68822,1.7867,0.60983,0.54148,0.58673,0.28577,1.64069,1.52194,1.8938,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,34425.2,1.59231,1.67945,1.7811,0.6072,0.54271,0.58755,0.28687,1.6405,1.51954,1.8928,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,34937.4,1.59223,1.67673,1.77958,0.60317,0.54613,0.58787,0.28743,1.63974,1.51767,1.89164,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,35485,1.58578,1.67171,1.78051,0.60564,0.54639,0.5888,0.28788,1.6391,1.51603,1.89124,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,36088.5,1.5875,1.66526,1.77496,0.60795,0.54346,0.58873,0.28805,1.639,1.51443,1.89002,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,36626.6,1.58121,1.66105,1.77804,0.61574,0.54201,0.58984,0.2883,1.63901,1.51301,1.88975,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,37135.3,1.57825,1.64552,1.76682,0.6165,0.54204,0.59048,0.28875,1.63939,1.51129,1.88995,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,37669.2,1.58257,1.6453,1.7697,0.61772,0.54182,0.59055,0.28866,1.6388,1.50918,1.88884,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,38172.2,1.5806,1.65443,1.76964,0.61449,0.54539,0.59087,0.28885,1.63905,1.50701,1.88858,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,38644.2,1.56918,1.63129,1.75942,0.6137,0.54468,0.59058,0.28909,1.63905,1.50476,1.88812,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,39150,1.57249,1.63595,1.75525,0.6134,0.54462,0.59044,0.2891,1.63882,1.50384,1.88745,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,39704.2,1.56443,1.62921,1.75611,0.61682,0.54314,0.5901,0.28907,1.63912,1.50211,1.88669,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,40215.3,1.56362,1.61869,1.75068,0.61347,0.54355,0.5904,0.28954,1.6387,1.50073,1.88615,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,40763.5,1.56899,1.62022,1.75687,0.61087,0.54441,0.59024,0.28981,1.63838,1.49891,1.88535,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,41284.4,1.56223,1.61824,1.75119,0.60558,0.5486,0.59109,0.28965,1.63787,1.497,1.88465,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,41786.3,1.56437,1.61781,1.75653,0.60804,0.54907,0.59102,0.2899,1.63736,1.49588,1.88354,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,42268.9,1.55998,1.60484,1.74826,0.60651,0.55398,0.59246,0.29037,1.63718,1.49388,1.88273,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,42801.2,1.55783,1.60378,1.74356,0.60866,0.55348,0.59199,0.29053,1.63692,1.4919,1.88234,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,43335.9,1.55379,1.59938,1.74425,0.61019,0.55409,0.59296,0.29076,1.63695,1.48997,1.88185,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,43864.1,1.55555,1.59294,1.74452,0.60732,0.55576,0.59283,0.29096,1.63728,1.48842,1.88169,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,44390.1,1.55355,1.5883,1.74102,0.60683,0.55581,0.59401,0.29132,1.63728,1.48636,1.88092,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,44890.1,1.55217,1.5789,1.73542,0.60482,0.55922,0.59436,0.29166,1.63809,1.48416,1.8808,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,45417.1,1.54322,1.57385,1.73616,0.6,0.56293,0.59499,0.29215,1.63805,1.48195,1.88055,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,45941.7,1.54149,1.57607,1.72617,0.60034,0.56481,0.59589,0.2923,1.63829,1.48028,1.87984,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,46442.5,1.5468,1.56827,1.7263,0.59984,0.56712,0.59624,0.29288,1.63844,1.47818,1.87931,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,46964.6,1.53627,1.56191,1.72236,0.5996,0.5654,0.59713,0.29311,1.63907,1.47613,1.87911,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,47472.4,1.53727,1.5548,1.71742,0.60249,0.56308,0.59738,0.29353,1.63944,1.47462,1.8787,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,47960.2,1.536,1.55019,1.72107,0.60188,0.56414,0.59788,0.29363,1.63935,1.47282,1.87788,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,48464,1.53332,1.54903,1.71562,0.60452,0.56202,0.59848,0.29396,1.63969,1.47076,1.87763,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,48981.7,1.53001,1.54012,1.7147,0.60129,0.56425,0.59877,0.2944,1.63967,1.4696,1.87707,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,49467.9,1.52471,1.53741,1.70559,0.60316,0.56322,0.59913,0.29419,1.63997,1.46821,1.87636,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,49974.9,1.52289,1.52144,1.71082,0.60335,0.56311,0.59961,0.29405,1.64051,1.46599,1.87627,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,50459,1.52326,1.52768,1.70488,0.60513,0.56128,0.60071,0.29455,1.64034,1.46529,1.87557,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,50961.8,1.51441,1.50678,1.69891,0.60563,0.55957,0.60115,0.29472,1.64125,1.46399,1.87557,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,51449.3,1.51598,1.51009,1.70096,0.60971,0.55548,0.60148,0.29512,1.64132,1.46243,1.87513,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,51951.3,1.51492,1.51196,1.70026,0.61332,0.55248,0.60179,0.29506,1.64179,1.4615,1.87476,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,52480,1.51362,1.50627,1.69883,0.61343,0.55578,0.60296,0.29559,1.64214,1.4611,1.87423,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,52988.9,1.507,1.49835,1.69223,0.60912,0.55836,0.6026,0.29548,1.64272,1.46064,1.87439,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,53486.5,1.50849,1.49901,1.69535,0.61125,0.55767,0.60326,0.29552,1.64334,1.45959,1.87408,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,54009,1.50346,1.48342,1.68722,0.61164,0.55931,0.60386,0.29577,1.6441,1.45868,1.8743,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,54570.5,1.5037,1.48202,1.68653,0.61243,0.55951,0.60433,0.29621,1.64464,1.45793,1.87373,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,55075.2,1.50333,1.47549,1.68308,0.61295,0.55959,0.60549,0.29644,1.64489,1.45708,1.87323,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,55577.3,1.4991,1.46752,1.68006,0.61307,0.55945,0.60575,0.29675,1.64545,1.45585,1.8728,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,56093.3,1.49095,1.46529,1.67358,0.61334,0.55842,0.6059,0.29689,1.64568,1.45577,1.87262,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,56624.2,1.48433,1.45907,1.67199,0.61305,0.55999,0.60687,0.29736,1.64578,1.45517,1.8718,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,57146.7,1.48885,1.45431,1.66944,0.61541,0.56207,0.60717,0.29771,1.64645,1.45457,1.87163,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,57668.2,1.47739,1.44086,1.66005,0.61539,0.56205,0.60698,0.29789,1.64683,1.4534,1.87173,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,58188.6,1.48619,1.44717,1.67021,0.61785,0.56193,0.6072,0.29803,1.64703,1.45302,1.87105,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,58700.6,1.48165,1.4414,1.66611,0.61661,0.56535,0.60845,0.29827,1.64799,1.45282,1.87128,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
