epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10502.8,1.61363,1.67781,1.57504,0.63749,0.55862,0.61118,0.31077,1.59797,1.50672,1.60898,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,10823.8,1.61021,1.67703,1.57506,0.62712,0.56592,0.61072,0.3131,1.59898,1.49461,1.60703,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11144.4,1.60466,1.65967,1.57058,0.62707,0.56854,0.61374,0.31494,1.59737,1.48521,1.60272,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,11465.5,1.60647,1.65359,1.56086,0.62807,0.56267,0.61185,0.31592,1.59544,1.48176,1.59634,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,11788.4,1.59573,1.63951,1.55683,0.63146,0.56494,0.61309,0.31626,1.59753,1.47634,1.59713,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,12108.2,1.58803,1.63579,1.55298,0.63284,0.56372,0.61621,0.3164,1.59555,1.47094,1.59717,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,12423,1.58628,1.62227,1.5489,0.6417,0.56343,0.61748,0.31813,1.59524,1.46765,1.59674,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,12734.9,1.5798,1.61706,1.54664,0.64089,0.56402,0.61827,0.31885,1.59417,1.46751,1.5949,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,13015.5,1.58083,1.61034,1.53806,0.64342,0.55962,0.62003,0.31986,1.59221,1.46278,1.59211,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,13326.2,1.56979,1.59704,1.53095,0.64422,0.56153,0.62027,0.32108,1.59055,1.45918,1.58993,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,13647.4,1.57279,1.59692,1.52943,0.64061,0.56194,0.62173,0.32262,1.59,1.4538,1.58766,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,13966.1,1.56986,1.58669,1.52892,0.64088,0.5677,0.62334,0.32345,1.58945,1.44993,1.5869,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,14287.6,1.56213,1.5776,1.52059,0.64131,0.57226,0.62616,0.32422,1.58774,1.44734,1.58454,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,14607.9,1.56511,1.57414,1.51991,0.64214,0.57686,0.62893,0.32564,1.58686,1.44471,1.5834,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,14929.1,1.55934,1.56139,1.51746,0.642,0.57449,0.62958,0.32478,1.58799,1.4423,1.58305,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,15248.8,1.55779,1.55726,1.51455,0.64399,0.57309,0.62941,0.32593,1.58838,1.43995,1.58277,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,15568.2,1.54748,1.55349,1.51261,0.64632,0.56933,0.62967,0.32617,1.58742,1.43766,1.58194,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,15887.7,1.54273,1.53797,1.50596,0.65681,0.56519,0.62972,0.32682,1.58646,1.43642,1.581,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,16172.4,1.54712,1.53861,1.50084,0.65733,0.56641,0.62953,0.32715,1.58651,1.4352,1.58043,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,16477.3,1.54179,1.53404,1.50227,0.65734,0.5671,0.62997,0.32719,1.58636,1.43394,1.57999,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,16785,1.53536,1.52196,1.49192,0.66607,0.56358,0.62887,0.32736,1.58539,1.43214,1.57859,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,17104.9,1.52808,1.51074,1.48343,0.6676,0.56086,0.62923,0.32792,1.58512,1.43114,1.57741,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,17425.1,1.52922,1.50626,1.48918,0.66416,0.5688,0.62896,0.32824,1.58499,1.42953,1.57653,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,17746.2,1.52618,1.50146,1.48326,0.66729,0.56509,0.63025,0.3293,1.58528,1.42716,1.57539,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,18067.3,1.5308,1.50325,1.48474,0.66615,0.56356,0.63042,0.32945,1.58506,1.4262,1.57453,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,18382.8,1.51953,1.48743,1.46803,0.66834,0.56652,0.63221,0.33008,1.5856,1.42569,1.57415,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,18703.2,1.51891,1.48234,1.47253,0.66883,0.56772,0.6321,0.33013,1.58552,1.42368,1.57346,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,19025.2,1.51703,1.47841,1.46966,0.66883,0.56855,0.63233,0.33071,1.58602,1.42196,1.57284,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,19346.5,1.51555,1.47264,1.47445,0.65542,0.57862,0.63249,0.33051,1.58581,1.41995,1.57217,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,19661,1.51057,1.45834,1.46026,0.6544,0.57982,0.63287,0.33126,1.58612,1.41845,1.57142,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,19975.6,1.50065,1.45195,1.46031,0.66002,0.5793,0.63375,0.33138,1.58598,1.41695,1.5708,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,20289.9,1.50271,1.44675,1.45932,0.65513,0.58221,0.63345,0.33119,1.58551,1.41566,1.57047,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,20610.5,1.49643,1.44161,1.45505,0.65064,0.5832,0.633,0.33169,1.58575,1.4152,1.56997,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,20931.8,1.49822,1.43972,1.45119,0.66481,0.57634,0.63361,0.33234,1.58638,1.41316,1.5696,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,21254.1,1.49095,1.42969,1.44744,0.657,0.58067,0.63384,0.33245,1.58693,1.41125,1.5695,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,21582.7,1.48587,1.42434,1.44241,0.66275,0.57757,0.63412,0.33252,1.5865,1.40992,1.56886,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,21907.4,1.48538,1.41811,1.44251,0.65556,0.5819,0.63384,0.33252,1.58691,1.40859,1.56892,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,22233,1.47812,1.41399,1.43292,0.66107,0.57718,0.63435,0.33296,1.58688,1.40649,1.56792,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
