epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,510.133,2.75483,3.45324,3.10686,0.3252,0.31564,0.22909,0.08376,2.22972,2.31639,2.46654,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863,0.0099859,0.00332863
2,925.851,2.07346,2.42635,2.15556,0.37094,0.30713,0.27345,0.11546,2.01316,2.22844,2.1335,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618,0.019854,0.006618
3,1274.19,2.04377,2.39571,2.04459,0.24061,0.20804,0.14343,0.05702,2.19536,2.81444,2.23578,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336,0.0295901,0.00986336
4,1638.4,2.03452,2.39897,1.97922,0.30019,0.29399,0.22844,0.09343,2.02866,2.32699,2.01938,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2015.2,1.93961,2.22888,1.87264,0.42416,0.37351,0.34339,0.14464,1.92036,2.04571,1.89428,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2387.04,1.88296,2.13866,1.8154,0.42134,0.38744,0.35185,0.15178,1.85075,2.00382,1.83956,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2739.98,1.84648,2.07338,1.77355,0.43932,0.41827,0.3762,0.1674,1.82352,1.93052,1.79707,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3113.7,1.81974,2.02006,1.74133,0.47348,0.41861,0.40675,0.18772,1.79713,1.87547,1.77258,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3476.99,1.78941,1.9715,1.71712,0.48909,0.42895,0.43196,0.20186,1.77168,1.82076,1.75372,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3841.52,1.7753,1.92967,1.69741,0.4962,0.45022,0.451,0.21452,1.73682,1.76042,1.7084,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4209.38,1.75767,1.89117,1.67993,0.49834,0.45257,0.45277,0.21411,1.72445,1.74784,1.71145,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4589.74,1.73853,1.86906,1.66397,0.53169,0.45278,0.46816,0.22312,1.71089,1.73303,1.69759,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4971.24,1.73537,1.836,1.6518,0.53131,0.49573,0.50259,0.24345,1.70509,1.6499,1.66311,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,5345.23,1.72627,1.82463,1.64032,0.53458,0.49004,0.49903,0.23886,1.68636,1.65642,1.64375,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,5719.73,1.71005,1.79377,1.62723,0.53206,0.50226,0.50747,0.24765,1.68339,1.63412,1.639,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,6105.29,1.69629,1.77739,1.61736,0.55732,0.49644,0.51563,0.25188,1.68076,1.61292,1.63599,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,6481.67,1.69508,1.7635,1.61668,0.55658,0.5184,0.53712,0.26398,1.66303,1.58267,1.63849,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
